Establishment ID,Establishment Status,Inspection ID,Establishment Name,Establishment Type,Infraction Details,Severity,Action,Outcome,Amount Fined,Inspection Date,year,month,day
10329113,Pass,105466079.0,NATIVITY OF OUR LORD BEFORE & AFTER PROGRAM,Child Care - Food Preparation,,,,,,2024-10-25,2024,10,25
10810093,Pass,105481606.0,NINE TO FIVE EATS,Food Take Out,FAIL TO REMOVE GARBAGE WHEN NECESSARY TO MAINTAIN SANITARY CONDITION - SEC. 12,S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
10810093,Pass,105481606.0,NINE TO FIVE EATS,Food Take Out,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,NA - Not Applicable,Notice to Comply,,,2024-10-25,2024,10,25
10447470,Pass,105482000.0,NORTH FISH COMPANY,Food Processing Plant,,,,,,2024-10-25,2024,10,25
10769095,Pass,105480221.0,OAKVIEW GROUP HOSPITALITY KITCHEN,Commissary,,,,,,2024-10-25,2024,10,25
10668769,Pass,105462334.0,OSMOW'S,Restaurant,,,,,,2024-10-25,2024,10,25
10761335,Pass,105482211.0,PARADISE CUPCAKE,Bakery,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10761335,Pass,105482211.0,PARADISE CUPCAKE,Bakery,Fail to ensure equipment surface cleaned as necessary - Sec. 22,S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10761335,Pass,105482211.0,PARADISE CUPCAKE,Bakery,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10761335,Pass,105482211.0,PARADISE CUPCAKE,Bakery,Fail to protect against harbouring of pests - Sec. 13(1),S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10828135,Pass,105482188.0,PEMAKO KITCHEN,Restaurant,,,,,,2024-10-25,2024,10,25
10750772,Pass,105482140.0,PHO VIETNAM,Restaurant,,,,,,2024-10-25,2024,10,25
10802002,Pass,105481803.0,PHOENIX CAFE,Restaurant,USE UTENSILS NOT IN GOOD REPAIR - SEC. 8(1)(B) ,S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
10802002,Pass,105481803.0,PHOENIX CAFE,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10806147,Pass,105482155.0,PI CO.,Restaurant,,,,,,2024-10-25,2024,10,25
10828107,Pass,105481977.0,PIZZA 2 GO,Restaurant,Fail to maintain records of pest control measures taken - Sec. 13(2),S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10828107,Pass,105481977.0,PIZZA 2 GO,Restaurant,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),S - Significant,Notice to Comply,,,2024-10-25,2024,10,25
10828107,Pass,105481977.0,PIZZA 2 GO,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10828127,Pass,105482122.0,PIZZA PIZZA,Food Take Out,,,,,,2024-10-25,2024,10,25
10578073,Pass,105482165.0,PIZZAIOLA,Food Take Out,,,,,,2024-10-25,2024,10,25
10746928,Pass,105477704.0,POKE POKE,Food Take Out,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
